StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q6,Q1,Q20,Q23,Q24_1,Q25,Q26,Q28_1,Q31,Q30,Q29_1,Q34,Q33,Q32_1,Q35,Q36,Q37_1,Q38,Q40,Q39_1,Q43,Q42,Q41_1,Q46,Q48,Q44_1,Q49,Q45,Q47_1,Q52,Q51,Q50_1,Q55,Q54,Q53_1,Q58,Q57,Q56_1,Q5,Q5_11_TEXT,Q7,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q10,Q10_8_TEXT,Q11,Q11_5_TEXT,Q12,Q12_6_TEXT,Q13,Q13_6_TEXT,Q14,Q14_7_TEXT,Q63,Q59,Q60,Q61,Q62,Q12_6_TEXT - Topics
2018-11-20 14:50:12,2018-11-20 14:53:38,IP Address,100,205,True,2018-11-20 14:53:38,R_1omX811ad0QB6vI,email,EN,I consent to taking part in this survey.,"Social,Research,Club Sports Team",,,,6,2,7,,,,,,,,,,2,"1 ",3,,,,,,,,,,,,,5,"1 ",10,,,,"Netflix,YouTube or YouTube TV",,4,Less than half the time spent in class,Usually by myself,Strongly Agree,Strongly Agree,Neutral,Strongly disagree,Neutral,Strongly disagree,"Caucasian ",,Male,,2021,,,,"The Quad (Cabot, Currier, Pfoho)",,6,Applied Mathematics,,,,
2018-11-20 14:44:58,2018-11-20 14:53:57,IP Address,100,539,True,2018-11-20 14:53:58,R_2dtJXJNfryDEHWd,email,EN,I consent to taking part in this survey.,"Service,Pre-Professional,Politics,IM Sports",3,"1 ",5,,,,6,2,8,,,,"1 ","1 ",6,,,,,,,,,,,,,,,,,,,"1 ","1 ",3,"Netflix,YouTube or YouTube TV",,8,Between half the time and the full time spent in class,Usually by myself,Strongly Agree,Strongly Agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,"Asian,Caucasian ",,Male,,2022,,,,,,,,,,,
2018-11-20 14:46:56,2018-11-20 14:54:35,IP Address,100,458,True,2018-11-20 14:54:35,R_w629n1bZlRrbyTf,email,EN,I consent to taking part in this survey.,"Service,Social,Arts & Music,On-Campus Job (House Grill, Lamont Library, etc.),IM Sports",4,"1 ",3,3,"1 ",6,,,,15,2,8,,,,,,,5,"1 ",2,,,,,,,,,,,,,8,6,5,"Hulu,Netflix,YouTube or YouTube TV",,8,Less than half the time spent in class,Usually by myself,Neutral,Strongly disagree,Neutral,Somewhat disagree,Somewhat agree,Strongly Agree,"Caucasian ",,Male,,2020,,,,"The Quad (Cabot, Currier, Pfoho)",,8,Sociology,,,,
2018-11-20 14:51:11,2018-11-20 14:55:00,IP Address,100,228,True,2018-11-20 14:55:00,R_2dXcZ5qu9POJdDP,email,EN,I consent to taking part in this survey.,"Service,Social,Pre-Professional,On-Campus Job (House Grill, Lamont Library, etc.)",7,3,8,2,2,5,3,"1 ",7,,,,,,,,,,6,"1 ",5,,,,,,,,,,,,,,,,"Netflix,YouTube or YouTube TV",,5,Less than half the time spent in class,Usually by myself,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Somewhat disagree,Hispanic/Latinx,,Female,,2022,,"Elm Yard (Grays, Matthews, Weld)",,,,,Joint/Non-conventional concentrators,Government,Romance Languages and Literatures,,
2018-11-20 14:57:13,2018-11-20 14:59:38,IP Address,100,145,True,2018-11-20 14:59:39,R_3NVdJ1XbZR3Nh21,email,EN,I consent to taking part in this survey.,"Service,On-Campus Job (House Grill, Lamont Library, etc.),PAF",4,"1 ",3,,,,,,,,,,,,,,,,13,,8,6,"1 ",7,,,,,,,,,,,,,"Hulu,Netflix,Amazon Prime Video,YouTube or YouTube TV",,3,Less than half the time spent in class,Usually with others,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly Agree,Strongly disagree,"Caucasian ",,Female,,2021,,,,"The Quad (Cabot, Currier, Pfoho)",,8,History,,,,
2018-11-20 14:57:18,2018-11-20 15:05:41,IP Address,100,502,True,2018-11-20 15:05:41,R_DuBxAGrLS0KZm0h,email,EN,I consent to taking part in this survey.,"Service,Politics,On-Campus Job (House Grill, Lamont Library, etc.),Club Sports Team","1 ","1 ",1,,,,,,,,,,2,"1 ",4,,,,10,"1 ",6,,,,,,,,,,5,"1 ",7,,,,"Netflix,Amazon Prime Video",,10,Between half the time and the full time spent in class,Usually by myself,Strongly Agree,Strongly Agree,Somewhat agree,Somewhat agree,Strongly Agree,Strongly disagree,"Caucasian ",,Female,,2022,,"Ivy Yard (Apley Court, Hollis, Holworthy, Lionel, Massachusetts Hall, Mower, Stoughton, Straus)",,,,,Molecular and Cellular Biology,,,,
2018-11-20 15:03:58,2018-11-20 15:07:56,IP Address,100,237,True,2018-11-20 15:07:57,R_22y3KbaG3kerp3I,email,EN,I consent to taking part in this survey.,"Service,Social,Pre-Professional,Politics,On-Campus Job (House Grill, Lamont Library, etc.)",2,"1 ",3,4,2,7,5,"1 ",8,,,,2,2,2,,,,11,2,9,,,,,,,,,,,,,,,,Netflix,,2,Less than half the time spent in class,Usually by myself,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly disagree,Somewhat disagree,"Black/African,Hispanic/Latinx",,Female,,2022,,"Elm Yard (Grays, Matthews, Weld)",,,,,Sociology,,,,
2018-11-20 15:06:38,2018-11-20 15:08:29,IP Address,100,111,True,2018-11-20 15:08:30,R_3ilsvGNzQjmp45o,email,EN,I consent to taking part in this survey.,"Service,Politics,On-Campus Job (House Grill, Lamont Library, etc.)",3,"1 ",5,,,,,,,,,,2,"1 ",6,,,,6,"1 ",7,,,,,,,,,,,,,,,,"Hulu,Netflix,YouTube or YouTube TV",,5,About the same amount of time as the time spent in class,Sometimes by myself,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,"Caucasian ",,Female,,2022,,"Oak Yard (Canaday, Thayer)",,,,,Anthropology,,,,
2018-11-20 15:14:48,2018-11-20 15:18:34,IP Address,100,225,True,2018-11-20 15:18:34,R_3MzzMHXN1VZAuKx,email,EN,I consent to taking part in this survey.,"Arts & Music,IM Sports",,,,,,,,,,10,2,10,,,,,,,,,,,,,,,,,,,,,,"1 ",3,3,YouTube or YouTube TV,,1,Less than half the time spent in class,Usually by myself,Somewhat agree,Strongly Agree,Neutral,Neutral,Neutral,Somewhat disagree,"Caucasian ",,Male,,2022,,"Crimson Yard (Greenough, Hurlbut, Pennypacker, Wigglesworth)",,,,,Music,,,,
2018-11-20 15:15:20,2018-11-20 15:20:57,IP Address,100,336,True,2018-11-20 15:20:57,R_9BumgaRYVX1Djyx,email,EN,I consent to taking part in this survey.,"Service,Social",5,2,8,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netflix,,2,Less than half the time spent in class,Usually by myself,Strongly Agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Asian,,Female,,2022,,"Crimson Yard (Greenough, Hurlbut, Pennypacker, Wigglesworth)",,,,,Chemistry,,,,
2018-11-20 15:20:33,2018-11-20 15:22:50,IP Address,100,137,True,2018-11-20 15:22:51,R_28VhliB4o8HoqqM,email,EN,I consent to taking part in this survey.,"Arts & Music,Research",,,,,,,,,,14,3,10,,,,"1 ","1 ",,,,,,,,,,,,,,,,,,,,Other,NA,,,,,,,,,,"Caucasian ",,Male,,2022,,"Crimson Yard (Greenough, Hurlbut, Pennypacker, Wigglesworth)",,,,,Undecided,,,,
2018-11-20 15:27:59,2018-11-20 15:34:26,IP Address,100,386,True,2018-11-20 15:34:26,R_3EfAex6z9SCccIt,email,EN,I consent to taking part in this survey.,"Service,Tutoring/CA/TF",10,"1 ",8,,,,,,,,,,,,,,,,,,,,,,10,2,9,,,,,,,,,,Netflix,,2,Less than half the time spent in class,About equally by myself and with others,Somewhat agree,Strongly Agree,Strongly disagree,Neutral,Strongly Agree,Strongly disagree,Asian,,Male,,2020,,,,"River Central (Adams, Lowell, Quincy)",,8,Joint/Non-conventional concentrators,Mathematics,Philosophy,,
2018-11-20 15:33:04,2018-11-20 15:38:50,IP Address,100,346,True,2018-11-20 15:38:51,R_2rJiDtAk7KWlltL,email,EN,I consent to taking part in this survey.,"Service,Arts & Music,Politics,On-Campus Job (House Grill, Lamont Library, etc.),PAF",8,2,10,,,,,,,5,2,6,10,"1 ",10,,,,10,"1 ",10,5,"1 ",5,,,,,,,,,,,,,"Hulu,Netflix,YouTube or YouTube TV",,2,Less than half the time spent in class,About equally by myself and with others,Neutral,Strongly Agree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly disagree,"Caucasian ",,Nonbinary,,2021,,,,"River East (Dunster, Leverett, Mather)",,3,Social Studies,,,,
2018-11-20 15:37:50,2018-11-20 15:40:39,IP Address,100,168,True,2018-11-20 15:40:39,R_2Yftr93BBytmPUh,email,EN,I consent to taking part in this survey.,"Service,Social,Pre-Professional","1 ","1 ",3,5,2,5,"1 ",2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Netflix,YouTube or YouTube TV",,1,Less than half the time spent in class,Sometimes by myself,Somewhat agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,"Caucasian ",,Female,,2022,,"Crimson Yard (Greenough, Hurlbut, Pennypacker, Wigglesworth)",,,,,Human Developmental and Regenerative Biology,,,,
2018-11-20 15:48:50,2018-11-20 15:52:08,IP Address,100,198,True,2018-11-20 15:52:08,R_3JKQgOfNmOkKoBv,email,EN,I consent to taking part in this survey.,"Arts & Music,On-Campus Job (House Grill, Lamont Library, etc.)",,,,,,,,,,4,"1 ",5,,,,,,,3,"1 ",10,,,,,,,,,,,,,,,,"Netflix,YouTube or YouTube TV",,2,Less than half the time spent in class,Usually by myself,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Somewhat agree,Black/African,,Female,,2022,,"Crimson Yard (Greenough, Hurlbut, Pennypacker, Wigglesworth)",,,,,Undecided,,,,
2018-11-20 15:50:57,2018-11-20 15:54:02,IP Address,100,185,True,2018-11-20 15:54:03,R_3eyHeqanC9UmWvk,email,EN,I consent to taking part in this survey.,"Arts & Music,Varsity Sports Team",,,,,,,,,,4,2,5,,,,,,,,,,,,,,,,20+,"1 ",10,,,,,,,YouTube or YouTube TV,,2,Less than half the time spent in class,Usually by myself,Strongly Agree,Strongly Agree,Somewhat agree,Neutral,Somewhat agree,Somewhat disagree,"Caucasian ",,Male,,2022,,"Ivy Yard (Apley Court, Hollis, Holworthy, Lionel, Massachusetts Hall, Mower, Stoughton, Straus)",,,,,Earth and Planetary Sciences,,,,
2018-11-20 15:54:36,2018-11-20 15:57:40,IP Address,100,184,True,2018-11-20 15:57:41,R_Zq1ZMg5Ty9lujIJ,email,EN,I consent to taking part in this survey.,"Service,Politics,Club Sports Team",4,2,4,,,,,,,,,,12,5,7,,,,,,,,,,,,,,,,5,2,2,,,,YouTube or YouTube TV,,6,Less than half the time spent in class,Usually by myself,Strongly Agree,Strongly Agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,"Caucasian ",,Male,,2022,,"Elm Yard (Grays, Matthews, Weld)",,,,,History,,,,
2018-11-20 16:13:10,2018-11-20 16:17:40,IP Address,100,269,True,2018-11-20 16:17:40,R_2ci2f5saJZmi5n8,email,EN,I consent to taking part in this survey.,"Service,Social,On-Campus Job (House Grill, Lamont Library, etc.),Club Sports Team,IM Sports",3,"1 ",4,7,"1 ",7,,,,,,,,,,,,,4,"1 ",2,,,,,,,,,,4,"1 ",7,3,2,,"Hulu,Netflix",,5,Less than half the time spent in class,Usually by myself,Strongly Agree,Strongly Agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,"Caucasian ",,Female,,2021,,,,"River East (Dunster, Leverett, Mather)",,4,Psychology,,,,
2018-11-20 16:47:09,2018-11-20 16:50:09,IP Address,100,180,True,2018-11-20 16:50:09,R_BtEibyfhry7touR,email,EN,I consent to taking part in this survey.,"Arts & Music,On-Campus Job (House Grill, Lamont Library, etc.)",,,,,,,,,,18,4,10,,,,,,,8,"1 ",5,,,,,,,,,,,,,,,,"Netflix,YouTube or YouTube TV",,2,Less than half the time spent in class,About equally by myself and with others,Neutral,Somewhat agree,Neutral,Strongly disagree,Strongly Agree,Neutral,"Caucasian ",,Female,,2022,,"Ivy Yard (Apley Court, Hollis, Holworthy, Lionel, Massachusetts Hall, Mower, Stoughton, Straus)",,,,,Joint/Non-conventional concentrators,History of Art and Architecture,Anthropology,,
2018-11-20 16:58:09,2018-11-20 17:00:23,IP Address,100,134,True,2018-11-20 17:00:24,R_3PBSqDuNhAwG1oN,email,EN,I consent to taking part in this survey.,"Arts & Music,Research",,,,,,,,,,10,2,10,,,,6,,8,,,,,,,,,,,,,,,,,,,"Netflix,Amazon Prime Video,YouTube or YouTube TV",,5,Less than half the time spent in class,Usually by myself,Strongly Agree,Strongly Agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,"Caucasian ",,Female,,2022,,"Elm Yard (Grays, Matthews, Weld)",,,,,Neurobiology,,,,
